operator_id,operator_name,skill_index,skill_name,skill_id,function_key,enhanced,unlock,elite,level
char_1038_whitw2,荒芜拉普兰德,1,恣意英杰,train_spd_doubleProf_300,恣意英杰,0,初始解锁,0,1
char_1038_whitw2,荒芜拉普兰德,2,叙拉古狂欢,train_spd_tag_040,叙拉古狂欢,0,精英 2 解锁,2,1
char_1039_thorn2,引星棘刺,1,金属工艺·α,manu_formula_spd_102,金属工艺·α,0,初始解锁,0,1
char_1039_thorn2,引星棘刺,2,原质塑金副产物,manu_prod_spd&trade_1000,原质塑金副产物,0,精英 2 解锁,2,1
char_1040_blaze2,烛煌,1,断金之交,control_train_spd_011,断金之交,0,初始解锁,0,1
char_1040_blaze2,烛煌,2,热能充能·γ,power_rec_spd_1022,热能充能·γ,0,精英 2 解锁,2,1
char_1041_angel2,新约能天使,1,天生乐天派,dorm_rec_single_power_100,天生乐天派,0,初始解锁,0,1
char_1041_angel2,新约能天使,2,圣城趣事通,dorm_rec_single_power_001,圣城趣事通,1,精英 2 提升,2,1
char_1041_angel2,新约能天使,3,同城加急单,trade_ord_spd_par_001,同城加急单,0,精英 2 解锁,2,1
char_1042_phatm2,酒神,1,镜中影,manu_formula_spd&limit&cost_000,镜中影,0,初始解锁,0,1
char_1042_phatm2,酒神,2,戏中人,manu_formula_spd&limit&cost_010,戏中人,1,精英 2 提升,2,1
char_1043_leizi2,司霆惊蛰,1,雷法专精,power_rec_spd_007,雷法专精,0,初始解锁,0,1
char_1043_leizi2,司霆惊蛰,2,克己严修,workshop_formula_probability_021,克己严修,0,精英 2 解锁,2,1
char_1044_hsgma2,斩业星熊,1,下城人脉,control_train_spd_012,下城人脉,0,初始解锁,0,1
char_1044_hsgma2,斩业星熊,2,共事情谊,control_token_prod_spd3_000,共事情谊,0,精英 2 解锁,2,1
char_1045_svash2,凛御银灰,1,商业版图,control_tra_limit&spd3_000,商业版图,0,初始解锁,0,1
char_1045_svash2,凛御银灰,2,先锋专精·α,train_spd&profession2_111,先锋专精·α,0,初始解锁,0,1
char_1045_svash2,凛御银灰,3,先驱者共识,train_spd&profession2_112,先驱者共识,1,精英 2 提升,2,1
char_1046_sbell2,圣聆初雪,1,圣女声望,hire_spd_cost&char_000,圣女声望,0,初始解锁,0,1
char_1046_sbell2,圣聆初雪,2,雪境归心,hire_spd_cost&char_001,雪境归心,1,精英 2 提升,2,1
char_1047_halo2,溯光星源,1,勘探背包,manu_skill_limit_000,勘探背包,0,初始解锁,0,1
char_1047_halo2,溯光星源,2,莱茵科技·β,manu_prod_spd_011,莱茵科技·β,0,精英 2 解锁,2,1
char_1048_orchd2,焰狐龙梓兰,1,办公室年度人物,control_hire_spd_all_000,办公室年度人物,0,初始解锁,0,1
char_1048_orchd2,焰狐龙梓兰,2,队长的自觉,trade_ord_spd&limit_tag_000,队长的自觉,0,精英 2 解锁,2,1
char_1049_catap2,雷狼龙S空爆,1,兴之所至·α,train_spd_doubleProf3_000,兴之所至·α,0,初始解锁,0,1
char_1049_catap2,雷狼龙S空爆,2,兴之所至·β,train_spd_doubleProf3_100,兴之所至·β,1,精英 2 提升,2,1
char_1049_catap2,雷狼龙S空爆,3,气氛组,trade_ord_spd_022,气氛组,0,精英 2 解锁,2,1
char_1050_chen3,赤刃明霄陈,1,萍踪浪迹,meet_spd_notOwned_003,萍踪浪迹,0,初始解锁,0,1
char_1050_chen3,赤刃明霄陈,2,扶危行侠,meet_spd_bd_002,扶危行侠,0,精英 2 解锁,2,1
char_1051_headb2,怒潮凛冬,1,战阵领袖,manu_formula_spd&bd_000,战阵领袖,0,初始解锁,0,1
char_1051_headb2,怒潮凛冬,2,情同手足,manu_formula_spd&bd_001,情同手足,1,精英 2 提升,2,1
char_1051_headb2,怒潮凛冬,3,“是，团长！”,control_meeting_bd_000,“是，团长！”,0,精英 2 解锁,2,1
char_1052_kalts2,凯尔希·思衡托,1,技术阐明,workshop_proc_probability_041,技术阐明,0,初始解锁,0,1
char_1052_kalts2,凯尔希·思衡托,2,理论革新,workshop_proc_probability_050,理论革新,1,精英 2 提升,2,1
char_1052_kalts2,凯尔希·思衡托,3,“泰拉的方舟”,hire_spd_tag_000,“泰拉的方舟”,0,精英 2 解锁,2,1
char_106_franka,芙兰卡,1,近卫专精·α,train_spd&profession_020,近卫专精·α,0,初始解锁,0,1
char_106_franka,芙兰卡,2,近卫专精·β,train_spd&profession_021,近卫专精·β,1,精英 2 提升,2,1
char_106_franka,芙兰卡,3,线索搜集·α,meet_spd&team_000,线索搜集·α,0,初始解锁,0,1
char_106_franka,芙兰卡,4,B.P.R.S.,meet_spd&team_031,B.P.R.S.,1,精英 2 提升,2,1
char_107_liskam,雷蛇,1,脉冲电弧·α,power_rec_spd_014,脉冲电弧·α,0,初始解锁,0,1
char_107_liskam,雷蛇,2,脉冲电弧·β,power_rec_spd_021,脉冲电弧·β,1,精英 2 提升,2,1
char_108_silent,赫默,1,莱茵科技·α,manu_prod_spd_001,莱茵科技·α,0,初始解锁,0,1
char_108_silent,赫默,2,莱茵科技·β,manu_prod_spd_011,莱茵科技·β,1,精英 2 提升,2,1
char_109_fmout,远山,1,供应管理,trade_ord_spd&limit_010,供应管理,0,初始解锁,0,1
char_109_fmout,远山,2,占卜,meet_spd_030,占卜,0,精英 1 解锁,1,1
char_110_deepcl,深海色,1,订单分发·α,trade_ord_spd_000,订单分发·α,0,初始解锁,0,1
char_110_deepcl,深海色,2,专注·β,workshop_proc_probability_020,专注·β,0,精英 1 解锁,1,1
char_112_siege,推进之王,1,领袖,dorm_rec_all_013,领袖,0,初始解锁,0,1
char_112_siege,推进之王,2,狮心王,dorm_rec_all_022,狮心王,1,精英 2 提升,2,1
char_113_cqbw,W,1,狙击专精·α,train_spd&profession2_040,狙击专精·α,0,初始解锁,0,1
char_113_cqbw,W,2,伺机而动,train_spd&profession2_640,伺机而动,1,精英 2 提升,2,1
char_113_cqbw,W,3,索然无味,train_cost&profession_340,索然无味,0,精英 2 解锁,2,1
char_115_headbr,凛冬,1,领袖,dorm_rec_all_013,领袖,0,初始解锁,0,1
char_115_headbr,凛冬,2,冬将军,dorm_rec_all_020,冬将军,1,精英 2 提升,2,1
char_117_myrrh,末药,1,药理学·α,workshop_formula_probability_110,药理学·α,0,初始解锁,0,1
char_117_myrrh,末药,2,善解人意,dorm_rec_single_010,善解人意,0,精英 1 解锁,1,1
char_118_yuki,白雪,1,线索搜集·β,meet_spd_020,线索搜集·β,0,初始解锁,0,1
char_118_yuki,白雪,2,作战指导录像,manu_formula_spd_010,作战指导录像,0,精英 1 解锁,1,1
char_120_hibisc,芙蓉,1,善解人意,dorm_rec_single_010,善解人意,0,初始解锁,0,1
char_120_hibisc,芙蓉,2,营养学,workshop_formula_probability_100,营养学,0,精英 1 解锁,1,1
char_121_lava,炎熔,1,热能充能·α,power_rec_spd_001,热能充能·α,0,初始解锁,0,1
char_121_lava,炎熔,2,源石工艺·β,manu_formula_spd_210,源石工艺·β,0,精英 1 解锁,1,1
char_122_beagle,米格鲁,1,仓库整备·α,manu_prod_spd&limit_000,仓库整备·α,0,初始解锁,0,1
char_122_beagle,米格鲁,2,活泼,dorm_rec_single&oneself_000,活泼,0,精英 1 解锁,1,1
char_123_fang,芬,1,急性子,manu_prod_spd_addition_030,急性子,0,初始解锁,0,1
char_123_fang,芬,2,订单分发·β,trade_ord_spd_001,订单分发·β,0,精英 1 解锁,1,1
char_124_kroos,克洛丝,1,慢性子,manu_prod_spd_addition_040,慢性子,0,初始解锁,0,1
char_124_kroos,克洛丝,2,独处,dorm_rec_oneself_000,独处,0,精英 1 解锁,1,1
char_126_shotst,流星,1,标准化·α,manu_prod_spd_000,标准化·α,0,初始解锁,0,1
char_126_shotst,流星,2,善解人意,dorm_rec_single_010,善解人意,0,精英 1 解锁,1,1
char_127_estell,艾丝黛尔,1,专注·β,workshop_proc_probability_020,专注·β,0,初始解锁,0,1
char_127_estell,艾丝黛尔,2,独处,dorm_rec_oneself_000,独处,0,精英 1 解锁,1,1
char_128_plosis,白面鸮,1,莱茵科技·α,manu_prod_spd_001,莱茵科技·α,0,初始解锁,0,1
char_128_plosis,白面鸮,2,莱茵科技·β,manu_prod_spd_011,莱茵科技·β,1,精英 2 提升,2,1
char_129_bluep,蓝毒,1,毒理学·α,workshop_formula_probability_111,毒理学·α,0,初始解锁,0,1
char_129_bluep,蓝毒,2,毒理学·β,workshop_formula_probability_121,毒理学·β,1,精英 2 提升,2,1
char_130_doberm,杜宾,1,左膀右臂,control_mp_cost_000,左膀右臂,0,初始解锁,0,1
char_130_doberm,杜宾,2,教官,train_spd_000,教官,0,精英 1 解锁,1,1
char_131_flameb,炎客,1,技巧理论,workshop_formula_probability_000,技巧理论,0,初始解锁,0,1
char_131_flameb,炎客,2,登峰造极,workshop_formula_probability_020,登峰造极,1,精英 2 提升,2,1
char_133_mm,梅,1,线索搜集·β,meet_spd_0020,线索搜集·β,0,初始解锁,0,1
char_133_mm,梅,2,皇家探员（自称）,meet_team_020,皇家探员（自称）,0,精英 1 解锁,1,1
char_134_ifrit,伊芙利特,1,热能充能·α,power_rec_spd_001,热能充能·α,0,初始解锁,0,1
char_134_ifrit,伊芙利特,2,高热充能,power_rec_spd_013,高热充能,1,精英 2 提升,2,1
char_135_halo,星源,1,莱茵科技·α,manu_prod_spd_001,莱茵科技·α,0,初始解锁,0,1
char_135_halo,星源,2,莱茵科技·β,manu_prod_spd_011,莱茵科技·β,1,精英 2 提升,2,1
char_136_hsguma,星熊,1,重装专精·α,train_spd&profession_030,重装专精·α,0,初始解锁,0,1
char_136_hsguma,星熊,2,般若,train_spd&profession_130,般若,1,精英 2 提升,2,1
char_137_brownb,猎蜂,1,近卫专精·α,train_spd&profession_020,近卫专精·α,0,初始解锁,0,1
char_137_brownb,猎蜂,2,特训记录,workshop_formula_probability_300,特训记录,0,精英 1 解锁,1,1
char_140_whitew,拉普兰德,1,醉翁之意·α,trade_ord_limit&cost_P_000,醉翁之意·α,0,初始解锁,0,1
char_140_whitew,拉普兰德,2,醉翁之意·β,trade_ord_limit&cost_P_001,醉翁之意·β,1,精英 2 提升,2,1
char_141_nights,夜烟,1,金属工艺·α,manu_formula_spd_100,金属工艺·α,0,初始解锁,0,1
char_141_nights,夜烟,2,订单分发·β,trade_ord_spd_001,订单分发·β,0,精英 1 解锁,1,1
char_143_ghost,幽灵鲨,1,独处,dorm_rec_oneself_000,独处,0,初始解锁,0,1
char_143_ghost,幽灵鲨,2,狂热,dorm_rec_oneself_010,狂热,1,精英 2 提升,2,1
char_144_red,红,1,S.W.E.E.P.,control_mp_cost_001,S.W.E.E.P.,0,初始解锁,0,1
char_144_red,红,2,追踪者,meet_spd_031,追踪者,0,精英 2 解锁,2,1
char_145_prove,普罗旺斯,1,天灾信使·α,hire_spd_010,天灾信使·α,0,初始解锁,0,1
char_145_prove,普罗旺斯,2,天灾信使·β,hire_spd_011,天灾信使·β,1,精英 2 提升,2,1
char_147_shining,闪灵,1,善解人意,dorm_rec_single_010,善解人意,0,初始解锁,0,1
char_147_shining,闪灵,2,慈悲,dorm_rec_single_020,慈悲,1,精英 2 提升,2,1
char_148_nearl,临光,1,左膀右臂,control_mp_cost_000,左膀右臂,0,初始解锁,0,1
char_148_nearl,临光,2,使徒,dorm_rec_single&oneself_030,使徒,0,精英 2 解锁,2,1
char_149_scave,清道夫,1,S.W.E.E.P.,control_mp_cost_001,S.W.E.E.P.,0,初始解锁,0,1
char_149_scave,清道夫,2,拾荒者,manu_prod_limit&cost_000,拾荒者,0,精英 1 解锁,1,1
char_150_snakek,蛇屠箱,1,仓库整备·β,manu_prod_spd&limit_001,仓库整备·β,0,初始解锁,0,1
char_150_snakek,蛇屠箱,2,订单分发·α,trade_ord_spd_000,订单分发·α,0,精英 1 解锁,1,1
char_1502_crosly,弑君者,1,獠牙的技艺,workshop_formula_probability_031,獠牙的技艺,0,初始解锁,0,1
char_1502_crosly,弑君者,2,逆境荣光,manu_formula_spd_022,逆境荣光,0,精英 2 解锁,2,1
char_151_myrtle,桃金娘,1,谈判,trade_ord_limit&cost_000,谈判,0,初始解锁,0,1
char_151_myrtle,桃金娘,2,领袖,dorm_rec_all_013,领袖,0,精英 1 解锁,1,1
char_154_morgan,摩根,1,头号陪练,dorm_rec_toone_000,头号陪练,0,初始解锁,0,1
char_154_morgan,摩根,2,帮派指南针,trade_ord_spd_par_000,帮派指南针,0,精英 2 解锁,2,1
char_155_tiger,因陀罗,1,线索搜集·α,meet_spd&team_000,线索搜集·α,0,初始解锁,0,1
char_155_tiger,因陀罗,2,传讯者,meet_spd&team_070,传讯者,1,精英 2 提升,2,1
char_157_dagda,达格达,1,近卫专精·α,train_spd&profession3_150,近卫专精·α,0,初始解锁,0,1
char_157_dagda,达格达,2,实战技巧：斗士,train_spd&profession3_151,实战技巧：斗士,1,精英 2 提升,2,1
char_158_milu,守林人,1,线索搜集·α,meet_spd_000,线索搜集·α,0,初始解锁,0,1
char_158_milu,守林人,2,线索搜集·β,meet_spd_020,线索搜集·β,1,精英 2 提升,2,1
char_159_peacok,断罪者,1,天启,dorm_rec_single_030,天启,0,初始解锁,0,1
char_159_peacok,断罪者,2,拳术指导录像,manu_formula_spd_020,拳术指导录像,0,精英 1 解锁,1,1
char_163_hpsts,火神,1,工匠精神·α,manu_prod_spd&limit&cost_000,工匠精神·α,0,初始解锁,0,1
char_163_hpsts,火神,2,工匠精神·β,manu_prod_spd&limit&cost_001,工匠精神·β,1,精英 2 提升,2,1
char_164_nightm,夜魔,1,术师专精·α,train_spd&profession_050,术师专精·α,0,初始解锁,0,1
char_164_nightm,夜魔,2,心理学,hire_spd_020,心理学,0,精英 2 解锁,2,1
char_166_skfire,天火,1,术师专精·α,train_spd&profession_050,术师专精·α,0,初始解锁,0,1
char_166_skfire,天火,2,术师专精·β,train_spd&profession_051,术师专精·β,1,精英 2 提升,2,1
char_171_bldsk,华法琳,1,医疗专精·α,train_spd&profession_070,医疗专精·α,0,初始解锁,0,1
char_171_bldsk,华法琳,2,医疗专精·β,train_spd&profession_071,医疗专精·β,1,精英 2 提升,2,1
char_172_svrash,银灰,1,喀兰贸易·α,trade_ord_spd&limit_020,喀兰贸易·α,0,初始解锁,0,1
char_172_svrash,银灰,2,喀兰之主,trade_ord_spd&limit_022,喀兰之主,1,精英 2 提升,2,1
char_173_slchan,崖心,1,探险家的热情,dorm_rec_single&oneself_001,探险家的热情,0,初始解锁,0,1
char_173_slchan,崖心,2,喀兰贸易·β,trade_ord_spd&limit_021,喀兰贸易·β,0,精英 2 解锁,2,1
char_174_slbell,初雪,1,喀兰圣女,dorm_rec_single&oneself_021,喀兰圣女,0,初始解锁,0,1
char_174_slbell,初雪,2,辅助专精·β,train_spd&profession_061,辅助专精·β,0,精英 2 解锁,2,1
char_179_cgbird,夜莺,1,鼓舞,dorm_rec_all_000,鼓舞,0,初始解锁,0,1
char_179_cgbird,夜莺,2,提灯女神,dorm_rec_all_021,提灯女神,1,精英 2 提升,2,1
char_180_amgoat,艾雅法拉,1,火山学家,manu_formula_spd_213,火山学家,0,初始解锁,0,1
char_180_amgoat,艾雅法拉,2,天灾信使·β,hire_spd_011,天灾信使·β,0,精英 2 解锁,2,1
char_181_flower,调香师,1,药理学·α,workshop_formula_probability_110,药理学·α,0,初始解锁,0,1
char_181_flower,调香师,2,标准化·β,manu_prod_spd_010,标准化·β,0,精英 1 解锁,1,1
char_183_skgoat,地灵,1,天灾信使·α,hire_spd_cost_010,天灾信使·α,0,初始解锁,0,1
char_183_skgoat,地灵,2,准时下班,hire_spd_cost_200,准时下班,1,精英 1 提升,1,1
char_183_skgoat,地灵,3,地质学·β,manu_formula_spd_211,地质学·β,0,精英 1 解锁,1,1
char_185_frncat,慕斯,1,订单分发·β,trade_ord_spd_001,订单分发·β,0,初始解锁,0,1
char_185_frncat,慕斯,2,烘焙,dorm_rec_single&oneself_010,烘焙,0,精英 1 解锁,1,1
char_187_ccheal,嘉维尔,1,药理学·α,workshop_formula_probability_110,药理学·α,0,初始解锁,0,1
char_187_ccheal,嘉维尔,2,医疗专精·α,train_spd&profession_070,医疗专精·α,0,精英 1 解锁,1,1
char_188_helage,赫拉格,1,超脱,dorm_rec_all&oneself_010,超脱,0,初始解锁,0,1
char_188_helage,赫拉格,2,挣脱,dorm_rec_all&oneself_011,挣脱,1,精英 1 提升,1,1
char_188_helage,赫拉格,3,解脱,dorm_rec_all&oneself_012,解脱,1,精英 2 提升,2,1
char_188_helage,赫拉格,4,兵者诡道,workshop_formula_probability_010,兵者诡道,0,初始解锁,0,1
char_190_clour,红云,1,拾荒者,manu_prod_limit&cost_0000,拾荒者,0,初始解锁,0,1
char_190_clour,红云,2,回收利用,manu_prod_spd_variable_000,回收利用,0,精英 1 解锁,1,1
char_192_falco,翎羽,1,先锋专精·α,train_spd&profession_010,先锋专精·α,0,初始解锁,0,1
char_192_falco,翎羽,2,订单管理·α,trade_ord_spd&limit_000,订单管理·α,0,精英 1 解锁,1,1
char_193_frostl,霜叶,1,独处,dorm_rec_oneself_000,独处,0,初始解锁,0,1
char_193_frostl,霜叶,2,作战指导录像,manu_formula_spd_010,作战指导录像,0,精英 1 解锁,1,1
char_194_leto,烈夏,1,近卫专精·α,train_spd&profession_020,近卫专精·α,0,初始解锁,0,1
char_194_leto,烈夏,2,患难拍档,manu_formula_spd_P_000,患难拍档,0,精英 2 解锁,2,1
char_195_glassb,真理,1,辅助专精·α,train_spd&profession_060,辅助专精·α,0,初始解锁,0,1
char_195_glassb,真理,2,军师,meet_spd&team_050,军师,0,精英 2 解锁,2,1
char_196_sunbr,古米,1,交际,trade_ord_spd&cost_000,交际,0,初始解锁,0,1
char_196_sunbr,古米,2,烹饪,dorm_rec_single&oneself_011,烹饪,0,精英 1 解锁,1,1
char_197_poca,早露,1,学生会会长,control_mp_cost&faction_020,学生会会长,0,初始解锁,0,1
char_197_poca,早露,2,人望,hire_spd&clue2_250,人望,0,精英 2 解锁,2,1
char_198_blackd,讯使,1,喀兰贸易·α,trade_ord_spd&limit_020,喀兰贸易·α,0,初始解锁,0,1
char_198_blackd,讯使,2,讯使,meet_spd&team_040,讯使,0,精英 1 解锁,1,1
char_199_yak,角峰,1,喀兰贸易·α,trade_ord_spd&limit_020,喀兰贸易·α,0,初始解锁,0,1
char_199_yak,角峰,2,重装专精·β,train_spd&profession_031,重装专精·β,0,精英 1 解锁,1,1
char_201_moeshd,可颂,1,企鹅物流·α,trade_ord_spd&limit_030,企鹅物流·α,0,初始解锁,0,1
char_201_moeshd,可颂,2,使命必达,trade_ord_spd&limit_031,使命必达,1,精英 2 提升,2,1
char_2012_typhon,提丰,1,冰原游弋,meet_spd&sami_000,冰原游弋,0,初始解锁,0,1
char_2012_typhon,提丰,2,实战技巧：攻城手,train_spd&profession3_170,实战技巧：攻城手,0,精英 2 解锁,2,1
char_2013_cerber,刻俄柏,1,“都想要”,manu_prod_limit&cost_002,“都想要”,0,初始解锁,0,1
char_2013_cerber,刻俄柏,2,“等不及”,manu_prod_spd_addition_031,“等不及”,0,精英 2 解锁,2,1
char_2014_nian,年,1,稀有金属辨识,workshop_formula_probability_160,稀有金属辨识,0,初始解锁,0,1
char_2014_nian,年,2,肆无忌惮,workshop_formula_cost_010,肆无忌惮,0,初始解锁,0,1
char_2015_dusk,夕,1,"""不以物喜""",control_mp_cost&bd1_000,"""不以物喜""",0,初始解锁,0,1
char_2015_dusk,夕,2,"""不以己悲""",control_mp_cost&bd2_000,"""不以己悲""",0,初始解锁,0,1
char_202_demkni,塞雷娅,1,线索搜集·α,meet_spd&team_000,线索搜集·α,0,初始解锁,0,1
char_202_demkni,塞雷娅,2,守望者,meet_spd&team_010,守望者,1,精英 2 提升,2,1
