skill_id,clause,name,kind,family,target,condition,value_milli,status,control_capability,template_id,params
dorm_hireToRecAll_000,2,寻同路人,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,每个招募位（不包含初始招募位）= 办公室等级,50,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=recruit_slot
dorm_hireToRecAll_001,1,无瑕心·α,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_hireToRecAll_001,2,无瑕心·α,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,每个招募位（不包含初始招募位）= 办公室等级,50,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=recruit_slot
dorm_hireToRecAll_021,1,无瑕心·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_hireToRecAll_021,2,无瑕心·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,每个招募位（不包含初始招募位）= 办公室等级,100,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=recruit_slot
dorm_powToRecAll_000,1,柔和微光·α,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_powToRecAll_000,2,柔和微光·α,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,每有1间发电站,50,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=power_count
dorm_powToRecAll_010,1,柔和微光·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_powToRecAll_010,2,柔和微光·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,每有1间发电站,50,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=power_count
dorm_recExcludeOther_000,1,自律,recover,no_external,self,,2000,auto,,M14,exclusive=true;partial=false
dorm_rec_all&bd_000,1,无词颂歌,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&bd_000,2,无词颂歌,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,每有5点无声共鸣,10,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;var=无声共鸣;var_per=5
dorm_rec_all&group_000,1,调众口,recover,dorm_group,self,,60,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&lv_000,1,睡前必听故事,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&lv_100,1,死前必做清单,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&lv_100,2,死前必做清单,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,当前宿舍每级,20,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=dorm_level
dorm_rec_all&oneself_000,1,慵懒,recover,dorm_self,self,,-100,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_000,2,慵懒,recover,dorm_group,,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&oneself_001,1,嗜睡,recover,dorm_self,self,,-100,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_001,2,嗜睡,recover,dorm_group,,,250,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&oneself_010,1,超脱,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_011,1,挣脱,recover,dorm_self,self,,100,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_012,1,解脱,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_012,2,解脱,recover,dorm_group,,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&oneself_021,1,牧歌,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_021,2,牧歌,recover,dorm_group,,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&oneself_022,1,天生丽质,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_022,2,天生丽质,recover,dorm_group,,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&oneself_042,1,“归乡”,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_all&oneself_042,2,“归乡”,recover,dorm_group,,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&profession_000,1,火山温泉浴,recover,dorm_group,self,,60,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&single_000,1,小酌怡情,recover,dorm_pool,进驻宿舍时，使心情未满的宿舍成员，平均分配到总计,,800,complex,,M11,total=0.8;recipients=unfull;partial_mode=apply;partial=true
dorm_rec_all&tag_000,1,资深料理人,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&tag_000,2,资深料理人,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0.,如果目标是莱欧斯小队干员，则恢复效果额外+0.15,150,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_all&tired_000,1,芬芳疗养·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&tired_000,2,芬芳疗养·β,recover,dorm_group,进驻宿舍时，该宿舍内所有干员心情每小时恢复+0.,该宿舍内心情18以下的干员,100,complex,,M12,stacking=sum;partial_mode=hold;partial=true
dorm_rec_all&tired_100,1,净化呼吸,recover,complex,进驻宿舍时，该宿舍内心情20以下的干员恢复效果额,,100,auto,,M12,stacking=sum;partial=false
dorm_rec_all&unfull_000,1,倾听者,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&unfull_001,1,倾谈者,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all&unfull_001,2,倾谈者,recover,dorm_group,进驻宿舍时，该宿舍内所有干员的心情每小时恢复+0,该宿舍每有1名心情未满干员,10,complex,,M08,exclude_self=false;stacking=same_kind_max;partial_mode=apply;partial=true;basis=dorm_unfull
dorm_rec_all_000,1,鼓舞,recover,dorm_group,self,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_010,1,小提琴独奏,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_011,1,偶像,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_012,1,沁人心脾,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_013,1,领袖,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_014,1,大锅饭·α,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_017,1,静心仪式·α,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_020,1,冬将军,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_021,1,提灯女神,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_022,1,狮心王,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_023,1,芬芳疗养·α,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_024,1,大锅饭·β,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_025,1,乡野笛音,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_026,1,利他主义,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_027,1,静心仪式·β,recover,dorm_group,self,,200,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_028,1,明星效应,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_all_029,1,沉静心灵,recover,dorm_group,self,,150,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_bd_n1_n2_000,1,睡前故事,recover,dorm_group,self,,100,auto,,M08,exclude_self=false;stacking=same_kind_max;partial=false
dorm_rec_bd_n1_n3_000,1,慢板行歌,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,650,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_oneself2_000,1,“独处”,recover,dorm_self,self,,700,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself2_000,2,“独处”,recover,dorm_self,self,该宿舍内每有1名其他干员,50,complex,,M10,stacking=same_kind_max;partial_mode=apply;partial=true;basis=dorm_others
dorm_rec_oneself2_001,1,赋格融汇,recover,dorm_self,self,,700,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself2_001,2,赋格融汇,recover,dorm_self,self,该宿舍内每有1名其他干员,50,complex,,M10,stacking=same_kind_max;partial_mode=apply;partial=true;basis=dorm_others
dorm_rec_oneself_000,1,独处,recover,dorm_self,self,,700,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_001,1,幼狼情性,recover,dorm_self,self,,700,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_002,1,哪里都是兔子洞,recover,dorm_self,self,,700,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_010,1,狂热,recover,dorm_self,self,,850,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_011,1,麻烦回避者,recover,dorm_self,self,,850,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_020,1,悲歌,recover,dorm_self,self,,1000,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_030,1,隐形的美食家,recover,dorm_self,self,,750,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_oneself_040,1,难得休憩,recover,dorm_self,self,,550,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_000,1,活泼,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,200,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_000,2,活泼,recover,dorm_self,self,,400,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_001,1,探险家的热情,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,250,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_001,2,探险家的热情,recover,dorm_self,self,,500,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_010,1,烘焙,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,300,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_010,2,烘焙,recover,dorm_self,self,,300,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_011,1,烹饪,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,350,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_011,2,烹饪,recover,dorm_self,self,,350,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_012,1,Give me five,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,350,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_012,2,Give me five,recover,dorm_self,self,,350,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_020,1,和谐,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,400,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_020,2,和谐,recover,dorm_self,self,,200,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_021,1,喀兰圣女,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,500,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_021,2,喀兰圣女,recover,dorm_self,self,,250,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_030,1,使徒,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,500,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_030,2,使徒,recover,dorm_self,self,,250,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&oneself_040,1,甜甜圈派对,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,400,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&oneself_040,2,甜甜圈派对,recover,dorm_self,self,,400,auto,,M10,stacking=same_kind_max;partial=false
dorm_rec_single&tag_000,1,狩猎好帮手,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是怪物猎人小队/泡影国狩猎小队，则额外+0.45,550,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single&tag_000,2,狩猎好帮手,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是怪物猎人小队/泡影国狩猎小队，则额外+0.45,450,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_000,1,医疗服务,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,650,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_001,1,疗养,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,650,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_010,1,善解人意,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,550,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_020,1,慈悲,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,750,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_030,1,天启,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,700,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_031,1,维多利亚文学,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,700,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_032,1,心理疏导,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,700,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_033,1,恩典颂歌,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,700,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_1010,1,善解人意,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,,550,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_P_000,1,沏茶,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是锡兰，则恢复效果额外+0.45,550,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_P_000,2,沏茶,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是锡兰，则恢复效果额外+0.45,450,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_P_001,1,烤肉大师,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是嘉维尔，则恢复效果额外+0.45,550,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
dorm_rec_single_P_001,2,烤肉大师,recover,dorm_single,进驻宿舍时，使该宿舍内除自身以外心情未满的某个干,如果目标是嘉维尔，则恢复效果额外+0.45,450,complex,,M09,target_policy=minimum_unfull_exclude_provider;stacking=same_kind_max;partial_mode=apply;partial=true
